title,artist,category,image_file,lev_bas,lev_adv,lev_exp,lev_mas,lev_remas,version
このピアノでお前を8759632145回ぶん殴る,SLAVE.V-V-R,niconico＆VOCALOID™,02960e843e603fcc.png,5,7,10,13,,MiLK PLUS
やめろ！聴くな！,SLAVE.V-V-R,niconico＆VOCALOID™,bae2c3c40c380969.png,4,7,9,12+,,PiNK PLUS
メランコリック,Junky,niconico＆VOCALOID™,883b8d0c3ac0b34a.png,6,6,8,11,,maimai
ZIGG-ZAGG,Junky,niconico＆VOCALOID™,3c33f819dd33084c.png,6,6,8,10+,11+,maimai
I ♥,Junky,niconico＆VOCALOID™,02726be291ff6fa0.png,4,6,8,11+,,GreeN
ラブチーノ,Junky,niconico＆VOCALOID™,1e713165e806d9d6.png,4,6,8+,11,,MURASAKi PLUS
スイートマジック,ろん×Junky,niconico＆VOCALOID™,e1e5a738cc1af930.png,4,6,9+,11+,,maimai PLUS
リリリリ★バーニングナイト,samfree,niconico＆VOCALOID™,0ecd4d01e6c5816a.png,4,7,8+,10,,GreeN PLUS
イアイア★ナイトオブデザイア,samfree,niconico＆VOCALOID™,e87708ce64ba6e75.png,4,6,8+,10,,GreeN
ルカルカ★ナイトフィーバー,samfree,niconico＆VOCALOID™,b3690cc56ebefda2.png,4,6,8,11,,maimai
メグメグ☆ファイアーエンドレスナイト,samfree,niconico＆VOCALOID™,c5b4e1db83ded58b.png,5,6,7+,11,,maimai
深海少女,ゆうゆ,niconico＆VOCALOID™,74f1d3bb32ce7d30.png,2,6,9,13,,maimaiDX 2024
トルコ行進曲 - オワタ＼(^o^)／,オワタP,niconico＆VOCALOID™,951e6d7982e052cf.png,3,6,9,13,,GreeN
Sweetiex2,Dixie Flatline,niconico＆VOCALOID™,867a5c27569914df.png,4,6,7,11+,,maimai PLUS
shake it!,emon,niconico＆VOCALOID™,1480ca66a27df12e.png,4,6,8,11+,,ORANGE
Heart Beats,向日葵×emon(Tes.),niconico＆VOCALOID™,98960650058c168a.png,5,6,8+,11+,,ORANGE
初音ミクの激唱,Storyteller,niconico＆VOCALOID™,286115dc6007ad2a.png,6,8,11,14,,MiLK PLUS
初音ミクの消失,cosMo＠暴走P,niconico＆VOCALOID™,1a02c2684d829331.png,6,8,12,14,,maimaiDX 2024
終点,cosMo@暴走P,niconico＆VOCALOID™,56c793d08494cafe.png,5,7+,11,13,,FiNALE
Tell Your World,livetune,niconico＆VOCALOID™,2409dc4300acfacf.png,4,6,9,11+,12+,maimai PLUS
メルティランドナイトメア,はるまきごはん feat.初音ミク,niconico＆VOCALOID™,b245ac1c75a0acb9.png,2,6,8+,11+,,maimaiDX
メルト,supercell,niconico＆VOCALOID™,b84d562faa4c7c0b.png,3,6,8+,11+,,maimaiDX
デンパラダイム,lumo,niconico＆VOCALOID™,37b7f72f67a5d4ae.png,4,7+,11+,13,,maimaiDX
骸骨楽団とリリア,トーマ,niconico＆VOCALOID™,a74fb1bfa112e7cb.png,4,7+,10+,13,,maimaiDX
星屑ユートピア,otetsu,niconico＆VOCALOID™,84aeeb88068f829e.png,4,7,10+,12,,maimaiDX
アマツキツネ,まらしぃ,niconico＆VOCALOID™,49a37b23bf52f77f.png,4,7,9,11+,,maimaiDX
Strobe♡Girl,colate,niconico＆VOCALOID™,a8e14db93c0abf9c.png,3,7,10,12,,maimaiDX
ナイトメア☆パーティーナイト,くちばしP,niconico＆VOCALOID™,2ab3812cc612f648.png,4,7,10,11,12,FiNALE
はやくそれになりたい！,キノシタ feat. 音街ウナ,niconico＆VOCALOID™,8bcd4e9515ccbeb9.png,5,7,9+,11,12+,MiLK PLUS
おねがいダーリン,ONE (song by ナナホシ管弦楽団),niconico＆VOCALOID™,ef6f1e317a56e61c.png,4,6,10,12,,MiLK PLUS
フリィダム ロリィタ,ねじ式,niconico＆VOCALOID™,b5a075c27659db38.png,4,6,9,11+,,MiLK
幸せになれる隠しコマンドがあるらしい,うたたP,niconico＆VOCALOID™,a1da6a4bdebaf419.png,5,8,12,14,,MURASAKi PLUS
しねばいいのに,どぶウサギ,niconico＆VOCALOID™,876172e4c4979c78.png,4,6,9,12,,MiLK
キレキャリオン,ポリスピカデリー,niconico＆VOCALOID™,c0c293f4eef1087e.png,4,6,9,12+,,MiLK
ドクハク,MARETU,niconico＆VOCALOID™,4fa10a454644291e.png,5,6,9,12+,,MiLK
アルカリレットウセイ,かいりきベア,niconico＆VOCALOID™,b337c736e69b8f8a.png,4,6,9+,11+,,MiLK
ARROW,niki,niconico＆VOCALOID™,131b1873d71a6baa.png,4,6,11,12+,,MURASAKi PLUS
ヘルシーエンド,椎名もた (ぽわぽわP),niconico＆VOCALOID™,74d3b31d6375a517.png,4,7,10,12,,MURASAKi PLUS
ロストワンの号哭,Neru,niconico＆VOCALOID™,1cb4a922d67acf7e.png,4,6,9+,13,14,ORANGE PLUS
